[INFO] [1788765750.197545397] [slow_distance_subscriber]: depth-1 slow subscriber on /turtle_distance; delay=0.20 s
actual_subscription_history=KEEP_LAST depth=1
[INFO] [1788765750.208091105] [slow_distance_subscriber]: received #1 at 0.03 s: 7.841 m
[INFO] [1788765750.425168598] [slow_distance_subscriber]: received #2 at 0.24 s: 7.841 m
[INFO] [1788765750.634202623] [slow_distance_subscriber]: received #3 at 0.46 s: 7.841 m
[INFO] [1788765750.850461472] [slow_distance_subscriber]: received #4 at 0.67 s: 7.841 m
[INFO] [1788765751.062852189] [slow_distance_subscriber]: received #5 at 0.88 s: 7.841 m
[INFO] [1788765751.273292668] [slow_distance_subscriber]: received #6 at 1.10 s: 7.841 m
[INFO] [1788765751.484608612] [slow_distance_subscriber]: received #7 at 1.31 s: 7.841 m
[INFO] [1788765751.700313990] [slow_distance_subscriber]: received #8 at 1.52 s: 7.841 m
[INFO] [1788765751.911356002] [slow_distance_subscriber]: received #9 at 1.73 s: 7.841 m
[INFO] [1788765752.125236625] [slow_distance_subscriber]: received #10 at 1.94 s: 7.841 m
[INFO] [1788765752.337910616] [slow_distance_subscriber]: received #11 at 2.16 s: 7.841 m
[INFO] [1788765752.552363880] [slow_distance_subscriber]: received #12 at 2.37 s: 7.841 m
[INFO] [1788765752.766841565] [slow_distance_subscriber]: received #13 at 2.58 s: 7.841 m
[INFO] [1788765752.979106153] [slow_distance_subscriber]: received #14 at 2.80 s: 7.841 m
[INFO] [1788765753.192286650] [slow_distance_subscriber]: received #15 at 3.01 s: 7.841 m
[INFO] [1788765753.409597119] [slow_distance_subscriber]: received #16 at 3.22 s: 7.841 m
[INFO] [1788765753.620965642] [slow_distance_subscriber]: received #17 at 3.44 s: 7.841 m
[INFO] [1788765753.840141656] [slow_distance_subscriber]: received #18 at 3.65 s: 7.841 m
[INFO] [1788765754.052824959] [slow_distance_subscriber]: received #19 at 3.87 s: 7.841 m
[INFO] [1788765754.266203432] [slow_distance_subscriber]: received #20 at 4.09 s: 7.841 m
[INFO] [1788765754.476342749] [slow_distance_subscriber]: received #21 at 4.30 s: 7.841 m
[INFO] [1788765754.691437505] [slow_distance_subscriber]: received #22 at 4.51 s: 7.841 m
[INFO] [1788765754.902240526] [slow_distance_subscriber]: received #23 at 4.72 s: 7.841 m
[INFO] [1788765755.115758854] [slow_distance_subscriber]: received #24 at 4.93 s: 7.841 m
[INFO] [1788765755.327844874] [slow_distance_subscriber]: received #25 at 5.15 s: 7.841 m
[INFO] [1788765755.538426701] [slow_distance_subscriber]: received #26 at 5.36 s: 7.841 m
[INFO] [1788765755.748328972] [slow_distance_subscriber]: received #27 at 5.57 s: 7.841 m
[INFO] [1788765755.961459367] [slow_distance_subscriber]: received #28 at 5.78 s: 7.841 m
[INFO] [1788765756.173978383] [slow_distance_subscriber]: received #29 at 5.99 s: 7.841 m
[INFO] [1788765756.383284671] [slow_distance_subscriber]: received #30 at 6.21 s: 7.841 m
[INFO] [1788765756.595709900] [slow_distance_subscriber]: received #31 at 6.42 s: 7.841 m
[INFO] [1788765756.806700260] [slow_distance_subscriber]: received #32 at 6.63 s: 7.841 m
[INFO] [1788765757.020595263] [slow_distance_subscriber]: received #33 at 6.84 s: 7.841 m
[INFO] [1788765757.234601524] [slow_distance_subscriber]: received #34 at 7.05 s: 7.841 m
[INFO] [1788765757.447541469] [slow_distance_subscriber]: received #35 at 7.27 s: 7.841 m
[INFO] [1788765757.661774366] [slow_distance_subscriber]: received #36 at 7.48 s: 7.841 m
[INFO] [1788765757.873144738] [slow_distance_subscriber]: received #37 at 7.69 s: 7.841 m
[INFO] [1788765758.082893156] [slow_distance_subscriber]: received #38 at 7.91 s: 7.841 m
[INFO] [1788765758.303549268] [slow_distance_subscriber]: received #39 at 8.12 s: 7.841 m
[INFO] [1788765758.513446266] [slow_distance_subscriber]: received #40 at 8.34 s: 7.841 m
[INFO] [1788765758.722489348] [slow_distance_subscriber]: received #41 at 8.55 s: 7.841 m
[INFO] [1788765758.931392820] [slow_distance_subscriber]: received #42 at 8.76 s: 7.841 m
[INFO] [1788765759.145879024] [slow_distance_subscriber]: received #43 at 8.96 s: 7.841 m
[INFO] [1788765759.355484151] [slow_distance_subscriber]: received #44 at 9.18 s: 7.841 m
[INFO] [1788765759.565877196] [slow_distance_subscriber]: received #45 at 9.39 s: 7.841 m
[INFO] [1788765759.774672372] [slow_distance_subscriber]: received #46 at 9.60 s: 7.841 m
[INFO] [1788765759.984697960] [slow_distance_subscriber]: received #47 at 9.81 s: 7.841 m
[INFO] [1788765760.198705719] [slow_distance_subscriber]: received #48 at 10.02 s: 7.841 m
[INFO] [1788765760.408606191] [slow_distance_subscriber]: received #49 at 10.23 s: 7.841 m
